name,rt,pair,foil,trial,error,first_press
1,1.542519,2,2,4,1,1
1,1.24349,1,1,1,0,1
1,5.705495,2,1,3,0,1
1,1.31826,2,1,7,0,2
1,1.363908,1,2,2,1,1
1,1.132687,1,1,5,0,2
1,1.688416,1,2,6,0,2
1,1.197037,2,2,8,1,2
2,4.117793,2,1,7,1,2
2,1.807357,1,2,6,0,2
2,1.975256,2,1,3,1,1
2,1.607491,1,1,1,1,1
2,1.699495,2,2,4,0,1
2,1.898752,2,2,8,0,2
2,1.981613,1,1,5,1,2
2,1.545918,1,2,2,1,1
5,3.26052,2,1,7,0,2
5,1.348703,1,1,5,0,2
5,1.830244,1,2,2,0,1
5,2.02477,1,1,1,0,1
5,1.983175,1,2,6,1,2
5,1.489881,2,2,4,0,1
5,1.486794,2,2,8,0,2
5,1.501126,2,1,3,0,1
7,5.443758,2,2,8,1,2
7,3.88173,1,1,5,1,2
7,4.954433,1,2,2,1,1
7,8.298815,1,1,1,1,1
7,5.03684,2,1,7,0,2
7,3.850967,2,2,4,0,1
7,1.728941,2,1,3,1,1
7,3.611892,1,2,6,0,2
9,4.640188,2,2,8,1,2
9,1.973187,1,1,1,1,1
9,2.318866,2,1,3,0,1
9,5.536869,1,2,6,0,2
9,1.566029,1,1,5,0,2
9,1.992939,2,2,4,0,1
9,5.144352,2,1,7,1,2
9,1.579699,1,2,2,0,1
10,4.630396,1,1,5,1,2
10,3.443834,2,2,4,1,1
10,1.827322,2,1,7,1,2
10,2.289285,1,2,6,0,2
10,1.824051,2,1,3,0,1
10,1.597189,1,1,1,1,1
10,2.267612,1,2,2,1,1
10,1.743111,2,2,8,1,2
11,2.468723,2,1,3,0,1
11,1.443411,2,1,7,0,2
11,1.367662,1,1,1,1,1
11,1.914759,2,2,4,1,1
11,1.100781,1,1,5,1,2
11,1.292206,2,2,8,0,2
11,1.780496,1,2,6,1,2
11,2.417079,1,2,2,1,1
13,5.988865,2,1,7,0,2
13,1.597762,2,2,4,0,1
13,2.362272,1,2,2,1,1
13,2.462236,1,1,1,1,1
13,3.466152,1,2,6,1,2
13,2.599065,1,1,5,1,2
13,1.75412,2,1,3,1,1
13,2.011103,2,2,8,0,2
16,7.987237,1,1,5,1,2
16,2.347189,2,1,3,0,1
16,1.104562,1,1,1,0,1
16,2.609753,2,2,8,0,2
16,2.096615,1,2,6,0,2
16,2.463437,2,2,4,0,1
16,1.324214,2,1,7,1,2
16,1.799818,1,2,2,0,1
18,4.189686,1,2,2,1,1
18,4.142608,2,2,8,1,2
18,1.553393,1,1,5,1,2
18,1.619452,1,2,6,0,2
18,1.943574,2,1,3,0,1
18,4.680895,1,1,1,1,1
18,1.56186,2,2,4,0,1
18,2.180799,2,1,7,0,2
20,9.618557,2,2,4,0,1
20,3.50437,1,2,2,1,1
20,1.373722,2,1,7,0,2
20,1.140762,2,2,8,1,2
20,1.789385,1,1,5,1,2
20,1.065578,2,1,3,1,1
20,1.265198,1,2,6,1,2
20,2.975926,1,1,1,1,1
22,1.555722,1,1,5,1,2
22,1.70668,2,2,8,0,2
22,3.36784,1,2,2,0,1
22,2.208098,1,2,6,0,2
22,2.4451,2,1,7,0,2
22,1.802499,2,2,4,1,1
22,1.871155,1,1,1,0,1
22,1.93993,2,1,3,0,1
24,4.065023,2,1,3,1,1
24,1.866811,1,2,6,0,2
24,2.411085,1,1,1,1,1
24,1.701755,1,1,5,1,2
24,1.79495,2,2,8,0,2
24,1.345896,1,2,2,0,1
24,1.554123,2,1,7,1,2
24,1.580966,2,2,4,0,1
3,6.056476,2,1,3,0,1
3,3.289159,2,1,7,0,2
3,2.771513,1,2,6,1,2
3,1.335433,2,2,8,0,2
3,1.917535,1,2,2,1,1
3,1.180992,1,1,1,0,1
3,1.036243,1,1,5,0,2
3,2.964195,2,2,4,0,1
4,6.58668,2,2,8,0,2
4,2.902144,1,1,5,1,2
4,1.565694,2,1,7,0,2
4,1.291094,1,1,1,1,1
4,1.325865,2,2,4,0,1
4,1.234408,1,2,2,0,1
4,1.931998,2,1,3,0,1
4,1.579593,1,2,6,0,2
6,1.7522,1,1,1,0,1
6,4.212049,1,2,6,0,2
6,1.359694,2,1,7,0,2
6,1.053641,2,2,4,0,1
6,1.035452,2,2,8,1,2
6,2.409935,1,2,2,0,1
6,1.902577,1,1,5,1,2
6,1.471283,2,1,3,1,1
8,4.532009,2,1,3,0,1
8,2.544815,2,1,7,1,2
8,3.464469,1,2,2,0,1
8,2.321001,2,2,4,1,1
8,1.792452,2,2,8,1,2
8,2.413452,1,1,1,0,1
8,1.648962,1,1,5,0,2
8,2.275194,1,2,6,1,2
12,2.251605,2,2,4,0,1
12,2.266999,2,1,3,1,1
12,4.356887,2,1,7,0,2
12,1.202979,1,2,6,1,2
12,2.559018,2,2,8,0,2
12,1.525048,1,2,2,0,1
12,3.611647,1,1,5,1,2
12,3.399889,1,1,1,1,1
14,2.266036,2,2,8,1,2
14,1.12254,1,2,6,0,2
14,1.105316,1,1,5,1,2
14,4.439187,1,1,1,0,1
14,1.052232,1,2,2,1,1
14,1.077622,2,2,4,0,1
14,1.30206,2,1,7,1,2
14,3.678925,2,1,3,1,1
15,3.64409,1,2,2,0,1
15,3.317081,2,2,8,0,2
15,2.516884,1,2,6,1,2
15,2.740293,2,2,4,0,1
15,2.194565,2,1,3,0,1
15,2.327341,2,1,7,1,2
15,2.087117,1,1,5,1,2
15,5.079626,1,1,1,1,1
17,4.906292,1,2,6,0,2
17,2.042143,1,1,1,0,1
17,3.612716,1,1,5,1,2
17,2.631853,2,2,8,1,2
17,2.314276,2,2,4,1,1
17,3.241955,1,2,2,1,1
17,2.715713,2,1,3,0,1
17,3.371121,2,1,7,1,2
19,1.714624,1,2,2,1,1
19,1.313349,1,1,1,0,1
19,1.247776,2,2,8,1,2
19,6.993787,2,1,7,0,2
19,1.630192,1,1,5,0,2
19,1.153184,1,2,6,1,2
19,1.342967,2,2,4,0,1
19,1.141285,2,1,3,0,1
21,6.062708,2,1,7,1,2
21,5.534306,1,2,6,1,2
21,4.357676,2,1,3,1,1
21,3.123373,2,2,4,0,1
21,5.002077,2,2,8,0,2
21,1.693791,1,1,1,0,1
21,4.094855,1,1,5,1,2
21,6.775313,1,2,2,1,1
23,1.845419,2,1,3,1,1
23,4.302066,1,1,1,0,1
23,2.42995,1,2,6,0,2
23,4.064931,1,1,5,0,2
23,1.146059,2,2,4,0,1
23,1.567256,1,2,2,1,1
23,1.035913,2,1,7,1,2
23,3.679623,2,2,8,0,2
25,3.321225,1,1,5,1,2
25,1.43834,1,2,6,0,2
25,2.105321,1,2,2,0,1
25,2.288888,2,1,3,0,1
25,2.329692,1,1,1,1,1
25,1.648016,2,2,8,0,2
25,1.489834,2,1,7,0,2
25,1.306617,2,2,4,0,1
27,1.753593,1,1,5,0,2
27,3.60492,1,1,1,0,1
27,2.287376,2,1,7,0,2
27,2.435918,2,1,3,1,1
27,1.946219,2,2,4,1,1
27,1.463809,1,2,2,1,1
27,1.633016,2,2,8,1,2
27,1.023056,1,2,6,0,2
29,2.43702,2,1,7,0,2
29,3.281337,1,1,5,0,2
29,1.14869,2,1,3,0,1
29,3.388004,1,2,2,1,1
29,1.755821,2,2,8,0,2
29,2.674134,1,1,1,0,1
29,1.782114,2,2,4,1,1
29,1.022463,1,2,6,1,2
26,2.019328,2,1,3,0,1
26,2.87816,1,1,5,0,2
26,1.336263,1,1,1,1,1
26,4.190665,1,2,6,0,2
26,1.194213,1,2,2,0,1
26,2.942176,2,1,7,0,2
26,1.548306,2,2,8,1,2
26,4.28174,2,2,4,1,1
28,1.475988,1,1,5,1,2
28,2.028189,1,2,6,1,2
28,2.28817,2,2,4,0,1
28,2.080587,1,2,2,0,1
28,1.681892,2,1,7,0,2
28,1.306132,1,1,1,0,1
28,1.034892,2,1,3,1,1
28,2.427356,2,2,8,0,2
30,18.248494,1,1,1,0,1
30,3.545159,1,2,2,0,1
30,2.62418,2,2,4,0,1
30,3.306751,2,1,3,1,1
30,4.770614,2,1,7,1,2
30,3.199709,1,1,5,1,2
30,4.348105,2,2,8,1,2
30,3.84981,1,2,6,0,2
